month,ts,record_type,KWH,meter_id
1,20220121053000,MEPMD01,0.468,2141779855
1,20220124231500,MEPMD01,0.5976,2141779855
1,20220116074500,MEPMD01,0.5232,2141779855
1,20220112181500,MEPMD01,0.5718,2141779855
1,20220110021500,MEPMD01,0.5304,2141779855
1,20220110143000,MEPMD01,0.5118,2141779855
1,20220117193000,MEPMD01,0.4314,2141779855
1,20220120001500,MEPMD01,0.4524,2141779855
1,20220126181500,MEPMD01,0.4026,2141779855
1,20220124034500,MEPMD01,0.468,2141779855
1,20220104003000,MEPMD01,0.5388,2141779855
1,20220110150000,MEPMD01,0.4752,2141779855
1,20220122214500,MEPMD01,0.5094,2141779855
1,20220118064500,MEPMD01,0.3768,2141779855
1,20220101140000,MEPMD01,0.6312,2141779855
1,20220109041500,MEPMD01,0.5298,2141779855
1,20220126090000,MEPMD01,0.3858,2141779855
1,20220116123000,MEPMD01,0.4158,2141779855
1,20220129143000,MEPMD01,0.339,2141779855
1,20220109020000,MEPMD01,0.5472,2141779855
1,20220108181500,MEPMD01,0.5292,2141779855
1,20220124114500,MEPMD01,0.339,2141779855
1,20220102120000,MEPMD01,0.459,2141779855
1,20220119223000,MEPMD01,0.4968,2141779855
1,20220113131500,MEPMD01,0.5562,2141779855
1,20220107154500,MEPMD01,0.4662,2141779855
1,20220127143000,MEPMD01,0.2124,2141779855
1,20220115080000,MEPMD01,0.4512,2141779855
1,20220105101500,MEPMD01,0.3816,2141779855
1,20220105190000,MEPMD01,0.5244,2141779855
1,20220112150000,MEPMD01,0.5082,2141779855
1,20220126134500,MEPMD01,0.372,2141779855
1,20220124180000,MEPMD01,0.2982,2141779855
1,20220118191500,MEPMD01,0.4098,2141779855
1,20220123233000,MEPMD01,0.5736,2141779855
1,20220117223000,MEPMD01,0.4794,2141779855
1,20220114113000,MEPMD01,0.4224,2141779855
1,20220126054500,MEPMD01,0.453,2141779855
1,20220109110000,MEPMD01,0.6462,2141779855
1,20220103050000,MEPMD01,0.4824,2141779855
1,20220124060000,MEPMD01,0.4254,2141779855
1,20220110170000,MEPMD01,0.5064,2141779855
1,20220126124500,MEPMD01,0.3582,2141779855
1,20220130120000,MEPMD01,0.4128,2141779855
1,20220106123000,MEPMD01,0.4308,2141779855
1,20220119183000,MEPMD01,0.3696,2141779855
1,20220109094500,MEPMD01,0.411,2141779855
1,20220114120000,MEPMD01,0.4188,2141779855
1,20220107211500,MEPMD01,0.6444,2141779855
1,20220123220000,MEPMD01,0.6132,2141779855
1,20220115163000,MEPMD01,0.4314,2141779855
1,20220107083000,MEPMD01,0.579,2141779855
1,20220114081500,MEPMD01,0.4176,2141779855
1,20220101141500,MEPMD01,0.6162,2141779855
1,20220118223000,MEPMD01,0.495,2141779855
1,20220124150000,MEPMD01,0.4368,2141779855
1,20220110004500,MEPMD01,0.5694,2141779855
1,20220125024500,MEPMD01,0.5064,2141779855
1,20220103184500,MEPMD01,0.483,2141779855
1,20220128210000,MEPMD01,0.4284,2141779855
1,20220117130000,MEPMD01,0.4146,2141779855
1,20220110174500,MEPMD01,0.4782,2141779855
1,20220115170000,MEPMD01,0.534,2141779855
1,20220123184500,MEPMD01,0.5622,2141779855
1,20220121003000,MEPMD01,0.5166,2141779855
1,20220110203000,MEPMD01,0.5628,2141779855
1,20220122124500,MEPMD01,0.2994,2141779855
1,20220120220000,MEPMD01,0.5064,2141779855
1,20220125123000,MEPMD01,0.3924,2141779855
1,20220109194500,MEPMD01,1.038,2141779855
1,20220127121500,MEPMD01,0.381,2141779855
1,20220127034500,MEPMD01,0.4536,2141779855
1,20220102030000,MEPMD01,0.4404,2141779855
1,20220107164500,MEPMD01,0.4656,2141779855
1,20220120233000,MEPMD01,0.5502,2141779855
1,20220101094500,MEPMD01,0.408,2141779855
1,20211231224500,MEPMD01,0.5604,2141779855
1,20220114211500,MEPMD01,0.543,2141779855
1,20220129001500,MEPMD01,0.4188,2141779855
1,20220130220000,MEPMD01,0.4632,2141779855
1,20220117174500,MEPMD01,0.381,2141779855
1,20220112091500,MEPMD01,0.4644,2141779855
1,20220106083000,MEPMD01,0.678,2141779855
1,20220114010000,MEPMD01,0.531,2141779855
1,20220119123000,MEPMD01,0.3144,2141779855
1,20220110043000,MEPMD01,0.5028,2141779855
1,20220123040000,MEPMD01,0.5364,2141779855
1,20220110110000,MEPMD01,0.417,2141779855
1,20220123043000,MEPMD01,0.4782,2141779855
1,20220103020000,MEPMD01,0.4722,2141779855
1,20220123021500,MEPMD01,0.525,2141779855
1,20220122173000,MEPMD01,0.453,2141779855
1,20220117211500,MEPMD01,0.5658,2141779855
1,20220114073000,MEPMD01,0.4218,2141779855
1,20220101204500,MEPMD01,0.5856,2141779855
1,20220119001500,MEPMD01,0.4818,2141779855
1,20220118131500,MEPMD01,0.3294,2141779855
1,20220108094500,MEPMD01,0.3924,2141779855
1,20220126131500,MEPMD01,0.4092,2141779855
1,20220120141500,MEPMD01,0.4122,2141779855
1,20220125080000,MEPMD01,0.4494,2141779855
1,20220110084500,MEPMD01,0.501,2141779855
1,20220112061500,MEPMD01,0.5646,2141779855
1,20220102140000,MEPMD01,0.4578,2141779855
1,20220118150000,MEPMD01,0.4482,2141779855
1,20220113233000,MEPMD01,0.5436,2141779855
1,20220122131500,MEPMD01,0.2904,2141779855
1,20220122080000,MEPMD01,0.4596,2141779855
1,20220120110000,MEPMD01,0.4074,2141779855
1,20220124170000,MEPMD01,0.3642,2141779855
1,20220120200000,MEPMD01,0.5742,2141779855
1,20220107143000,MEPMD01,0.4608,2141779855
1,20220102121500,MEPMD01,0.4338,2141779855
1,20220120080000,MEPMD01,0.3888,2141779855
1,20220121170000,MEPMD01,0.3462,2141779855
1,20220125191500,MEPMD01,0.4794,2141779855
1,20220123000000,MEPMD01,0.462,2141779855
1,20220117123000,MEPMD01,0.3672,2141779855
1,20220126051500,MEPMD01,0.3996,2141779855
1,20220121173000,MEPMD01,0.4182,2141779855
1,20220116004500,MEPMD01,0.4896,2141779855
1,20220114214500,MEPMD01,0.675,2141779855
1,20220102083000,MEPMD01,0.555,2141779855
1,20220115060000,MEPMD01,0.477,2141779855
1,20220114101500,MEPMD01,0.366,2141779855
1,20220125171500,MEPMD01,0.4554,2141779855
1,20220115213000,MEPMD01,0.588,2141779855
1,20220103221500,MEPMD01,0.6144,2141779855
1,20220106143000,MEPMD01,0.4908,2141779855
1,20220102133000,MEPMD01,0.471,2141779855
1,20220119053000,MEPMD01,0.384,2141779855
1,20220110171500,MEPMD01,0.4962,2141779855
1,20220127043000,MEPMD01,0.4992,2141779855
1,20220124183000,MEPMD01,0.4368,2141779855
1,20220129090000,MEPMD01,0.3372,2141779855
1,20220102180000,MEPMD01,0.6516,2141779855
1,20220104013000,MEPMD01,0.489,2141779855
1,20220116143000,MEPMD01,0.4608,2141779855
1,20220102024500,MEPMD01,0.4572,2141779855
1,20220122013000,MEPMD01,0.4824,2141779855
1,20220130133000,MEPMD01,0.357,2141779855
1,20220116190000,MEPMD01,0.528,2141779855
1,20220126063000,MEPMD01,0.3786,2141779855
1,20220130040000,MEPMD01,0.4374,2141779855
1,20220125234500,MEPMD01,0.5052,2141779855
1,20220109101500,MEPMD01,0.4548,2141779855
1,20220103080000,MEPMD01,0.4134,2141779855
1,20220114043000,MEPMD01,0.5454,2141779855
1,20220131170000,MEPMD01,0.339,2141779855
1,20220108070000,MEPMD01,0.4422,2141779855
1,20220117221500,MEPMD01,0.5154,2141779855
1,20220122043000,MEPMD01,0.4716,2141779855
1,20220108171500,MEPMD01,0.4746,2141779855
1,20220115174500,MEPMD01,0.4266,2141779855
1,20220115141500,MEPMD01,0.4254,2141779855
1,20220123054500,MEPMD01,0.4434,2141779855
1,20220130180000,MEPMD01,0.3936,2141779855
1,20220119233000,MEPMD01,0.459,2141779855
1,20220128021500,MEPMD01,0.4026,2141779855
1,20220110040000,MEPMD01,0.5016,2141779855
1,20220118204500,MEPMD01,0.5082,2141779855
1,20220108031500,MEPMD01,0.5124,2141779855
1,20220129030000,MEPMD01,0.369,2141779855
1,20220109190000,MEPMD01,0.5346,2141779855
1,20220108160000,MEPMD01,0.408,2141779855
1,20220129020000,MEPMD01,0.399,2141779855
1,20220131100000,MEPMD01,0.2688,2141779855
1,20220127173000,MEPMD01,0.288,2141779855
1,20220122224500,MEPMD01,0.4626,2141779855
1,20220105050000,MEPMD01,0.5046,2141779855
1,20220122223000,MEPMD01,0.489,2141779855
1,20220121224500,MEPMD01,0.5238,2141779855
1,20220131043000,MEPMD01,0.3696,2141779855
1,20220123161500,MEPMD01,0.3756,2141779855
1,20220125010000,MEPMD01,0.5646,2141779855
1,20220117083000,MEPMD01,0.5166,2141779855
1,20220119061500,MEPMD01,0.354,2141779855
1,20220123164500,MEPMD01,0.3942,2141779855
1,20220119164500,MEPMD01,0.2946,2141779855
1,20220105133000,MEPMD01,0.5286,2141779855
1,20220123034500,MEPMD01,0.4566,2141779855
1,20220114123000,MEPMD01,0.4548,2141779855
